id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance
12_2406_rta_12_241002110138_4166---3protCAVSAPIENZA-laGRU.txt,12_2406_rta_12_241002110138_4166---3protCAVSAPIENZA-laGRU.txt,2406_rta_12_241002110138_4166---3protCAVSAPIENZA-laGRU,Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,3,3,3,0,0,0,0,0
12_2406_rta_12_241002110904_4166---5protCAVSAPIENZA-RUOTALIBERACOOPERATIVASOCIALE.txt,12_2406_rta_12_241002110904_4166---5protCAVSAPIENZA-RUOTALIBERACOOPERATIVASOCIALE.txt,2406_rta_12_241002110904_4166---5protCAVSAPIENZA-RUOTALIBERACOOPERATIVASOCIALE,Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
12_2406_rta_12_241002111710_4166---6protCAVSAPIENZA-SAPIENZAINMOVIMENTO.txt,12_2406_rta_12_241002111710_4166---6protCAVSAPIENZA-SAPIENZAINMOVIMENTO.txt,2406_rta_12_241002111710_4166---6protCAVSAPIENZA-SAPIENZAINMOVIMENTO,Lazio,nan,Ambito regionale/Prov. Autonome,0,altro,3,1,0,0,0,0,0,0
12_2406_rta_12_241002112428_4166---7prot(mancapagina)CAVSAPIENZA-UNIVERSITàPOPOLAREVITAATIVA.txt,12_2406_rta_12_241002112428_4166---7prot(mancapagina)CAVSAPIENZA-UNIVERSITàPOPOLAREVITAATIVA.txt,2406_rta_12_241002112428_4166---7prot(mancapagina)CAVSAPIENZA-UNIVERSITàPOPOLAREVITAATIVA,Lazio,nan,Area metropolitana/provinciale,0,CAV,5,3,3,0,0,0,0,0
12_2406_rta_12_241002113235_4166---8protCAVSAPIENZA-RETAKEROMAODV.txt,12_2406_rta_12_241002113235_4166---8protCAVSAPIENZA-RETAKEROMAODV.txt,2406_rta_12_241002113235_4166---8protCAVSAPIENZA-RETAKEROMAODV,Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,1,1,1,0,0,0,0,0
12_2406_rta_12_241002114038_4166---1protCAVTITANO-8-10DidascoSoc.Coop.Soc.txt,12_2406_rta_12_241002114038_4166---1protCAVTITANO-8-10DidascoSoc.Coop.Soc.txt,2406_rta_12_241002114038_4166---1protCAVTITANO-8-10DidascoSoc.Coop.Soc,Lazio,Roma,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
12_2406_rta_12_241002115125_4166---2protCAVTITANO-AmiciDiConcaD’oro.txt,12_2406_rta_12_241002115125_4166---2protCAVTITANO-AmiciDiConcaD’oro.txt,2406_rta_12_241002115125_4166---2protCAVTITANO-AmiciDiConcaD’oro,Lazio,nan,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
12_2406_rta_12_241002115801_4166---3protCAVTITANO-IdeaPrisma82Coop.Soc.txt,12_2406_rta_12_241002115801_4166---3protCAVTITANO-IdeaPrisma82Coop.Soc.txt,2406_rta_12_241002115801_4166---3protCAVTITANO-IdeaPrisma82Coop.Soc,Lazio,nan,Area metropolitana/provinciale,0,altro,3,2,1,0,0,0,0,0
12_2406_rta_12_241002120506_4166---4protCAVTITANO-ASSOCIAZIONESolidarietàLaicaeResponsabileSO.LA.RE.Onlus.txt,12_2406_rta_12_241002120506_4166---4protCAVTITANO-ASSOCIAZIONESolidarietàLaicaeResponsabileSO.LA.RE.Onlus.txt,2406_rta_12_241002120506_4166---4protCAVTITANO-ASSOCIAZIONESolidarietàLaicaeResponsabileSO.LA.RE.Onlus,Lazio,nan,Area metropolitana/provinciale,0,associazionismo,1,1,1,0,0,0,0,0
12_2406_rta_12_241002122243_4166---2ProtocolloAssociazioneAllianceforAfricanAssistance(002).txt,12_2406_rta_12_241002122243_4166---2ProtocolloAssociazioneAllianceforAfricanAssistance(002).txt,2406_rta_12_241002122243_4166---2ProtocolloAssociazioneAllianceforAfricanAssistance(002),Lazio,nan,Area metropolitana/provinciale,0,associazionismo,3,2,2,0,0,0,0,0
