id_rete,input_json,titolo_rete,file,regione,provincia,comune_soggetto,nome_soggetto,tipo_dettaglio,tipo_aggregato_10,macro_tipologia,ruolo_attore,ruolo_firmatario,ruolo_proponente,ruolo_gestione,ruolo_monitoraggio,ruolo_coordinamento,ruolo_governance_totale,stato_osservazione
18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,all_risultati_enriched_2.4.json,2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito,18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,Calabria,Cosenza,Dipignano,Comune di Dipignano,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,0,0,valido_localizzato
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,all_risultati_enriched_2.4.json,2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Veneto,nan,Doberdo del Lago,Comune di Doberdo del Lago,Comuni,Servizi comunali,Servizi comunali,0,1,0,0,0,0,0,valido_localizzato
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,all_risultati_enriched_2.4.json,2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019,06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,Friuli-Venezia Giulia,Gorizia,Dolegna del Collio,Comune di Dolegna del Collio,Comuni,Servizi comunali,Servizi comunali,0,1,0,0,0,0,0,valido_localizzato
05_2406_rta_05_240916131522_4166---protocolloaggiornamento2023.txt,all_risultati_enriched_2.4.json,2406_rta_05_240916131522_4166---protocolloaggiornamento2023,05_2406_rta_05_240916131522_4166---protocolloaggiornamento2023.txt,Veneto,Venezia,Dolo,Comune di Dolo,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Emilia-Romagna,Bologna,Dozza,Comune di Dozza,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240920093134_4166---Protocollo_Intesa_Rete_Antiviolenza_SudEstMilano_Paullese_2021-2023.txt,all_risultati_enriched_2.4.json,2406_rta_03_240920093134_4166---Protocollo_Intesa_Rete_Antiviolenza_SudEstMilano_Paullese_2021-2023,03_2406_rta_03_240920093134_4166---Protocollo_Intesa_Rete_Antiviolenza_SudEstMilano_Paullese_2021-2023.txt,Lombardia,Milano,Dresano,Comune di Dresano,Comuni,Servizi comunali,Servizi comunali,1,0,0,0,0,0,0,valido_localizzato
05_2406_rta_05_240916135305_4166---protocolloulss4.txt,all_risultati_enriched_2.4.json,2406_rta_05_240916135305_4166---protocolloulss4,05_2406_rta_05_240916135305_4166---protocolloulss4.txt,Veneto,Venezia,Eraclea,Comune di Eraclea,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,all_risultati_enriched_2.4.json,2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo,03_2406_rta_03_240925150245_4166---ProtocolloReteARIAPalazzolo.txt,Lombardia,Brescia,Erbusco,Comune di Erbusco,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,all_risultati_enriched_2.4.json,2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Ravenna,Faenza,Comune di Faenza,Comuni,Servizi comunali,Servizi comunali,1,1,1,0,0,1,1,valido_localizzato
11_2406_rta_11_240911113034_4166---protocollodireteantiviolenza2020-2022-uuvv.txt,all_risultati_enriched_2.4.json,2406_rta_11_240911113034_4166---protocollodireteantiviolenza2020-2022-uuvv,11_2406_rta_11_240911113034_4166---protocollodireteantiviolenza2020-2022-uuvv.txt,Marche,Pesaro e Urbino,Fano,Comune di Fano,Comuni,Servizi comunali,Servizi comunali,1,1,0,0,0,0,0,valido_localizzato
