file,ambito_territoriale,livello_prevalente,comune_prevalente,provincia_prevalente,regione_prevalente,lat,lon,n_soggetti,n_firmatari,n_proponenti,n_attori,n_governance,n_governance_generica,n_enti_capofila,ente_capofila_principale,bucket_ambito
18_2406_rta_18_240925130829_4166---PROTOCOLLODIINTESA_COMUNEDIMENDICINO.txt,regionale,comune,Rende,Cosenza,Calabria,39.325220825,16.23089125,9,2,0,2,0,0,0,,regionale
18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,regionale,regione,Crotone,Crotone,Calabria,39.0799456,17.1249895,5,5,0,5,1,0,0,,regionale
18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,regionale,provincia,Villa San Giovanni,Reggio Calabria,Calabria,38.255653,16.050851,3,2,0,2,0,0,0,,regionale
18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,regionale,comune,Stalettì,Catanzaro,Calabria,38.7655011,16.540352,5,2,1,3,2,0,0,,regionale
18_2406_rta_18_240926102407_4166---ProtocollointesaAISM_CentroLanzino_ReteREDCALABRIA_firmadigitale.txt,regionale,comune,Cosenza,Cosenza,Calabria,39.249882618181815,15.877295163636363,17,2,2,4,0,0,0,,regionale
18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,regionale,comune,Dipignano,Cosenza,Calabria,39.17654980357143,16.300154582142856,31,0,3,30,0,0,0,,regionale
18_2406_rta_18_240926102528_4166---PROTOCOLLOAISM_PICCOLAOPERA_firma.txt,provinciale,comune,Cosenza,Catanzaro,Calabria,38.908672025,16.2067771625,17,2,2,5,1,0,0,,provinciale
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,regionale,comune,Catanzaro,Catanzaro,Calabria,38.912122675862065,16.500575927586205,37,36,2,36,0,0,0,,regionale
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,regionale,comune,Catanzaro,Catanzaro,Calabria,38.88560437142858,16.520097914285714,27,26,2,26,2,0,1,Centro Calabrese di Solidarietà,regionale
18_2406_rta_18_240926102814_4166---convenzDemetraIISCostanzoDecollatura2020.txt,provinciale,comune,Lamezia Terme,Catanzaro,Calabria,38.93185453333333,16.359274733333333,5,2,0,2,0,0,0,,provinciale
18_2406_rta_18_240926102931_4166---PROT.2403-24.txt,regionale,comune,Catanzaro,Catanzaro,Calabria,38.8190245,16.37842555,15,2,0,2,0,0,0,,regionale
18_2406_rta_18_240926102943_4166---schemaAccordoCollaborazione499ARIEL_signed.txt,regionale,comune,Reggio Calabria,,,,,10,2,0,2,2,0,0,,regionale
18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,regionale,comune,Cosenza,Cosenza,Calabria,39.451589894117646,16.248129311764703,28,20,1,25,1,0,0,,regionale
20_2406_rta_20_250620094616_4166---Delibera52-22del23.12.2024-Allegato1.txt,regionale,comune,Cagliari,Sassari,Sardegna,40.0799822164557,8.95910213670886,117,109,1,117,0,0,0,,regionale
