file,files,regione,firmatario,tipo_30,tipo_10
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione dei Comuni del Distretto Ceramico,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione dei Comuni del Frignano,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,Emilia-Romagna,Unione dei Comuni della Bassa Romagna,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,Emilia-Romagna,Unione dei Comuni della Romagna Faentina,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Unione delle Terre d'Argine,Province/Città metropolitane,Province/Città metropolitane
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,Emilia-Romagna,Comitato Pari Opportunita presso l'Ordine degli Avvocati di Ferrara,Organismi di parità,Territorio
09_AREZZO Prot_2024-2026.txt | 09_PISTOIA PROV .txt,09_AREZZO Prot_2024-2026.txt | 09_PISTOIA PROV .txt,Toscana,Consigliera Provinciale di Parità,Organismi di parità,Territorio
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,Emilia-Romagna,Consigliera di Parità Provinciale di Reggio Emilia,Organismi di parità,Territorio
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,Emilia-Romagna,Consigliera di Parità della Provincia di Modena,Organismi di parità,Territorio
09_PISA PREF E PROV.txt,09_PISA PREF E PROV.txt,Toscana,Consigliera di Parità della Provincia di Pisa,Organismi di parità,Territorio
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,Emilia-Romagna,Consigliera di Parità della Provincia di Rimini,Organismi di parità,Territorio
09_LUCCA PROV.txt,09_LUCCA PROV.txt,Toscana,Consigliera di Parità di Lucca,Organismi di parità,Territorio
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,Emilia-Romagna,Consigliera di Parità provinciale,Organismi di parità,Territorio
09_AREZZO Prot_2024-2026.txt,09_AREZZO Prot_2024-2026.txt,Toscana,Ufficio delle Consigliere di Parità per la Provincia di Arezzo,Organismi di parità,Territorio
09_FIRENZE Linee-di-indirizzo2024.txt,09_FIRENZE Linee-di-indirizzo2024.txt,Toscana,Città Metropolitana di Firenze,Province/Città metropolitane,Province/Città metropolitane
07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,07_2406_rta_07_240916163956_4166---DGR477_2022_Protocollo.txt,Liguria,Città Metropolitana di Genova,Province/Città metropolitane,Province/Città metropolitane
