regione,file,firmatario,tipo,macro_categoria
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Sasso Marconi,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Valsamoggia,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Vergato,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Comune di Zola Predosa,Comuni,Enti territoriali / servizi comunali
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Confcommercio Ascom Bologna,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Conferenza Territoriale Sociale e Sanitaria Metropolitana di Bologna (CTSSM,"Ambiti della programmazione sociale e socio-sanitaria (Ambiti Sociali, Piani di Zona, Distretti socio-sanitari, Società della Salute)",Ambiti socio-sanitari
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,FEDER.CASA,Altro,Altro
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,Per Le Donne - Imola,CAV/Centri Antiviolenza,CAV e Case Rifugio
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,SICET,Sindacati/Associazioni di categoria,Associazionismo
Emilia-Romagna,08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,SOLARIS s.r.l,Altro,Altro
