id_rete,file,titolo_rete,regione,provincia,ambito_territoriale,atto_formale,tipologia_dominante_10,n_soggetti,n_attori,n_firmatari,n_proponenti,n_gestione,n_monitoraggio,n_coordinamento,n_governance,Totale Riga
13_2406_rta_13_241122101453_4166---ProtocollodiRete_AlphaChieti.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,19,18,15,10,0,0,2,2,66.0
13_2406_rta_13_241122101856_4166---Protocollodirete_AlphaGuardiagrele.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,19,18,13,6,0,0,2,2,60.0
13_2406_rta_13_241122102615_4166---PROTOCOLLOD_INTESACOMUNEAQ_donatellatelliniCAV2023.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,13,9,6,6,0,0,0,0,34.0
13_2406_rta_13_241122103653_4166---protocollodirete_cavlafenice_provinciateramo.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,37,37,37,0,0,0,0,0,111.0
13_2406_rta_13_241122103901_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,54,54,53,11,0,0,2,2,176.0
13_2406_rta_13_241122104158_4166---Protocollirete_ortonaelancianoCAVdonn.ÿ.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,5,5,5,0,0,0,0,0,15.0
13_2406_rta_13_241122104428_4166---Protocollorete_ortonaCAVconsultoriodiocesano.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,0,0,0,0,1,1,6.0
13_2406_rta_13_241122104842_4166---Protocollodirete_DAFNE.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,5,4,4,0,0,0,0,0,13.0
13_2406_rta_13_241122105540_4166---protocollodirete_vastodonnattiva.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,21,19,18,14,1,0,1,2,76.0
13_2406_rta_13_241122105938_4166---ACCORDOOPERATIVO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,20,8,6,3,1,0,1,2,41.0
13_2406_rta_13_241122110421_4166---PROTOCOLLOOPERATIVO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,8,5,6,0,3,0,0,3,25.0
13_2406_rta_13_241122111153_4166---PROTOCOLLOCASTELDISANGROEASL.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,27,12,17,0,0,0,0,0,56.0
13_2406_rta_13_241122115416_4166---PROTOCOLLOPESCARA.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,27,26,26,15,0,0,1,1,96.0
17_2406_rta_17_250506142731_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,9,9,0,0,0,0,0,0,18.0
17_2406_rta_17_250506142746_4166---Tavolodicoordinamentoemonitoraggio30-01-24.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0
18_2406_rta_18_240925130829_4166---PROTOCOLLODIINTESA_COMUNEDIMENDICINO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,9,3,3,0,0,0,0,0,15.0
18_2406_rta_18_240926102259_4166---Protocollod’intesaperlaprotezioneel’assistenzadellevittimediviolenzadigenererichiedentiasilo.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,4,4,4,0,0,0,2,2,16.0
18_2406_rta_18_240926102317_4166---PROTOCOLLOISTITUTOSUP.NOSTRO-REPACI.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
18_2406_rta_18_240926102333_4166---accordodiretecentroaiutodonna.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,4,3,2,1,0,0,1,1,12.0
18_2406_rta_18_240926102407_4166---ProtocollointesaAISM_CentroLanzino_ReteREDCALABRIA_firmadigitale.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,16,4,2,2,0,0,0,0,24.0
18_2406_rta_18_240926102419_4166---protocollodiintesaterritorialeunito.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,30,30,0,3,0,0,0,0,63.0
18_2406_rta_18_240926102528_4166---PROTOCOLLOAISM_PICCOLAOPERA_firma.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,8,5,2,2,2,0,0,2,21.0
18_2406_rta_18_240926102620_4166---protocollopercorsorosa.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,35,34,35,2,0,0,0,0,106.0
18_2406_rta_18_240926102706_4166---protocollomondorosa2013.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,24,23,23,2,1,0,2,2,77.0
18_2406_rta_18_240926102814_4166---convenzDemetraIISCostanzoDecollatura2020.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,1,0,0,0,0,0,5.0
18_2406_rta_18_240926102931_4166---PROT.2403-24.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,13,1,1,0,0,1,1,2,19.0
18_2406_rta_18_240926102943_4166---schemaAccordoCollaborazione499ARIEL_signed.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,9,2,2,0,1,2,1,3,20.0
18_2406_rta_18_240926103211_4166---PROTOCOLLOviolasottoscritto.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,27,24,19,1,0,1,3,4,79.0
08_2406_rta_08_241015091310_4166---Accordo_Contrasto_alla_violenza_CittMtrBO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,27,26,8,3,1,0,7,8,80.0
08_2406_rta_08_241015091330_4166---Protocollo_intesa_autonomia_abitativa_donne_vittime_di_violenza_CittMtrBO.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,84,80,78,0,0,0,0,0,242.0
08_2406_rta_08_241015091355_4166---PROTOCOLLO_CONTRO_VIOLENZA_firmato2023.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,33,31,30,6,0,0,1,1,102.0
08_2406_rta_08_241015091430_4166---Protocollo_Distrettuale_Contrasto_violenza_Donne2023.stamped.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,44,38,19,11,5,1,3,8,129.0
08_2406_rta_08_241015091500_4166---Protocollo_autonomia_lavorativa_def.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,24,20,17,12,0,0,0,0,73.0
08_2406_rta_08_241015091553_4166---Protocollosullaviolenzadigenere_confirme_prot.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,44,39,28,2,0,0,2,2,117.0
08_2406_rta_08_241015091621_4166---PROTOCOLLO_22.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,35,32,17,3,4,0,0,4,95.0
08_2406_rta_08_241015091655_4166---Aggiornamentointegrazioneprotocollooperativoapprovatonelgiugno2008.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,42,30,15,15,0,0,2,2,106.0
08_2406_rta_08_241015091725_4166---Protoc-Prefett-2017.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,38,30,30,5,0,0,0,0,103.0
08_2406_rta_08_241015091748_4166---ProtocolloProvincialeCaserifugio2023.2025.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,14,11,9,0,0,0,1,1,36.0
08_2406_rta_08_241015091832_4166---P.G.111546-2023PROTOCOLLOOPERATIVOFENOMENOVIOLENZADONNE(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,16,13,12,3,0,1,0,1,46.0
08_2406_rta_08_241015091917_4166---Protocollo2022-2024.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,10,6,6,6,0,0,1,1,30.0
08_2406_rta_08_241015092005_4166---DG216-2024.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,14,14,0,14,0,0,3,3,48.0
08_2406_rta_08_241015092024_4166---Protocollooperativo.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,31,29,0,0,1,0,0,1,62.0
08_2406_rta_08_241015092049_4166---PROTOCOLLOD.G.C.FAENZA304-2009.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,22,20,18,5,1,0,1,2,69.0
06_2406_rta_06_240916164102_4166---protocollopordenoneprefettura.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,27,24,24,0,5,0,6,11,97.0
06_2406_rta_06_240916164258_4166---Protocolloviolenzadomesticaedigenere_30.09.2019.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,60,19,52,0,2,1,0,3,137.0
12_2406_rta_12_240926112734_4166---3AccordoDistrettoVT4ePontedonna-signed(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,15,3,2,0,1,0,0,1,22.0
12_2406_rta_12_240926112823_4166---2AccordoDemetra_Aman.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,1,0,0,1,9.0
12_2406_rta_12_240926113112_4166---4AccordoSpaziosupportodonnaAPSPonteDonna.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,2,2,0,1,0,0,1,8.0
12_2406_rta_12_240926113237_4166---Accordocavunuiversitari.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,19,19,3,2,2,0,0,2,47.0
12_2406_rta_12_240926113409_4166---AccordoICSPietroVanniFormazionePontedonna.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,1,0,0,0,0,0,0,3.0
12_2406_rta_12_240926114327_4166---1AccordoPonteDonnaAliceNova.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,1,1,0,0,0,0,0,4.0
12_2406_rta_12_240926115028_4166---ProtICROASLazioePonteDonna.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,4,2,1,0,0,0,0,0,7.0
12_2406_rta_12_240926122148_4166---2024.1153010-AccordotralepartiPonteDonna–UnderdogSocialClubCAVMarielleFranco-2(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,2,1,0,0,0,0,0,5.0
12_2406_rta_12_240926123509_4166---2024.1153010-ACCORDOtraAPSPonteDonnaeAPSMammeFuoriCAVMarielleFranco-10-11(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,1,1,0,0,0,0,0,5.0
12_2406_rta_12_240926124601_4166---ACCORDOtrlepartiITSETLOIeMarielleFranco(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,4,1,1,1,0,0,0,0,7.0
12_2406_rta_12_240926133329_4166---ProtInt2CAVFRANCARAME-18-20(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,2,2,0,0,0,0,0,6.0
12_2406_rta_12_240926133452_4166---PISPICGIL.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,3,2,0,0,0,0,0,8.0
12_2406_rta_12_240926133706_4166---STAR.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,21,18,9,0,0,0,0,0,48.0
12_2406_rta_12_240926134140_4166---Protocollointesa.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,18,14,12,5,0,0,0,0,49.0
12_2406_rta_12_240926135421_4166---3protCAVFRANCARAME-28-30(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_240926140522_4166---4ProtintCAVFRANCARAME-38-41(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,3,2,2,0,0,0,0,0,7.0
12_2406_rta_12_240926143343_4166---2.1protocolloIntegra-CavMerlin(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,5,3,2,0,0,0,0,0,10.0
12_2406_rta_12_240927093424_4166---ProtVMunMerlin.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,24,21,20,3,0,1,2,3,74.0
12_2406_rta_12_241001130527_4166---protocollocontrolaviolenzadigenere.pdfpdf.txt,0.0,0.0,0.0,0.0,0.0,0,0.0,22,20,16,0,0,0,0,0,58.0
12_2406_rta_12_241001133138_4166---1protCAVSAPIENZA-COMITATODIQUARTIERESANLORENZO(1).txt,0.0,0.0,0.0,0.0,0.0,0,0.0,2,1,1,0,0,0,0,0,4.0
