file,categoria,estratto
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Cuneo
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Fossano - Sede Legale Di Fossano - Via Roma
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Fossano - Sportello Legale Presso Municipio - Via Roma
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Fossano Con Specifico Riferimento Alle Attivita Oggetto Del Presente
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Mondovi Il Sindaco Adriano Paolo
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Saluzzo
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,comuni,Savigliano
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Cuneo In
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Donna Cuneo Odv
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Donna Cuneo Odv Collegato Al
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Mai+Sole
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Mai+Sole Collegato Al Telefono Nazionale Di
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Savigliano In Via Teatro N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,associazioni,Telefono Do
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Al N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Attua Quegli Interventi Individuati Nella Legge Quadro N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,E Che V
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Mondovi - Corso Statuto N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Monviso Solidale - Sede Legale Di Fossano
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Monviso Solidale Ha I Seguenti Compiti Istituzionali
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Monviso Solidale Il Presidente Piola Gianpiero
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Monviso Solidale Sportello Presso Cascina Sacerdote Via Dello Stagno
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Per I Servizi Socio Assistenziali Del Monregalese
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Socio Assistenziale Del Cuneese In Via Pasubio N
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Socio Assistenziale Del Cuneese Sportello
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Socio-Assistenziale Del Cuneese Il Direttore Generale Manassero Giulia
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Socio-Assistenziale Del Cuneese Si É Riunito Nella Sala
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Socio-Assistenziale Del Cuneese Via Rocca De
01_2406_rta_01_240920112211_4166---367772-4-Protocollo_intesa_Completo.json,consorzi,Violenza Attraverso Le Sue Tre Sedi Operative E Le
01_2406_rta_01_240920123646_4166---vercellieos.json,regioni,Per La Copertura Dei Relativi Costi
01_2406_rta_01_240920123646_4166---vercellieos.json,regioni,Piemonte E Disposizioni Per L'Istituzione Dei Bilanci Di Genere
01_2406_rta_01_240920123646_4166---vercellieos.json,province,Di Vercelli
01_2406_rta_01_240920123646_4166---vercellieos.json,province,Di Vercelli E Referente Nodo Territoriale Contro Le Discriminazioni I Fous Qype Comitato Pari Cme Oc Giudiziario Per Il Distretto Del Piemonte E Della Valle D
01_2406_rta_01_240920123646_4166---vercellieos.json,province,Di Vercelli La Consigliera Di Parita Si Impegna A Svolgere Attivita Di Promozione Delle Pari Opportunita La Referente Del Nodo Provinciale Contro Le Discriminazioni Della Provincia Di Vercelli Si Impegna A Svolgere Attivita Di Informazione Sul Funzionamento Della Rete Regionale E Sui Contenuti Della Lrs
01_2406_rta_01_240920123646_4166---vercellieos.json,province,Di Vercelli Quale Organismo Di Coordinamento E Di Programmazione Congiunta Delle Attivita Di Prevenzione E Di Contrasto Della Violenza
01_2406_rta_01_240920123646_4166---vercellieos.json,province,Ed Al Comma
01_2406_rta_01_240920123646_4166---vercellieos.json,comuni,Isesig
01_2406_rta_01_240920123646_4166---vercellieos.json,comuni,Valsesia
01_2406_rta_01_240920123646_4166---vercellieos.json,comuni,Vercelli C
